ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,355 | DIM02_10 | P22_00_WRN | Pump 22.00 Warning,2,"""ENG02_WRK"".IO.P22_00_WRN.io.sts",1,ENG02_P22_00_WRN,,,
,,,3,,356 | DIM02_11 | P22_00_GRT70 | Pump 22.00 Temperature  >70,2,"""ENG02_WRK"".IO.P22_00_GRT70.io.sts",1,ENG02_P22_00_GRT70,,,
,,,3,,357 | DIM02_12 | P22_01_ON | Pump 22.01 On,2,"""ENG02_WRK"".IO.P22_01_ON.io.sts",1,ENG02_P22_01_ON,,,
,,,3,,358 | DIM02_13 | P22_01_ERR | Pump 22.01 Error,2,"""ENG02_WRK"".IO.P22_01_ERR.io.sts",1,ENG02_P22_01_ERR,,,
,,,3,,359 | DIM02_14 | P22_01_WRN | Pump 22.01 Warning,2,"""ENG02_WRK"".IO.P22_01_WRN.io.sts",1,ENG02_P22_01_WRN,,,
,,,3,,360 | DIM02_15 | P22_01_GRT70 | Pump 22.01 Temperature  >70,2,"""ENG02_WRK"".IO.P22_01_GRT70.io.sts",1,ENG02_P22_01_GRT70,,,
,,,3,,361 | DOM03_00 | P22_00_ENB | Pump 22.00 Enable,2,"""ENG02_WRK"".IO.P22_00_ENB.io.sts",1,ENG02_P22_00_ENB,,,
,,,3,,362 | DOM03_01 | P22_00_RST | Pump 22.00 Reset,2,"""ENG02_WRK"".IO.P22_00_RST.io.sts",1,ENG02_P22_00_RST,,,
,,,3,,363 | DOM03_02 | P22_01_ENB | Pump 22.01 Enable,2,"""ENG02_WRK"".IO.P22_01_ENB.io.sts",1,ENG02_P22_01_ENB,,,
,,,3,,364 | DOM03_03 | P22_01_RST | Pump 22.01 Reset,2,"""ENG02_WRK"".IO.P22_01_RST.io.sts",1,ENG02_P22_01_RST,,,
,,,3,,365 | DOM03_04 | XL22.00 | Engine 2 Cabinet Light,2,"""ENG02_WRK"".IO.XL22_00.io.sts",1,ENG02_XL22_00,,,
,,,3,,366 | DOM03_05 | FN22.00 | Pump 22.00 Cooling Fan 22.00,2,"""ENG02_WRK"".IO.FN22_00.io.sts",1,ENG02_FN22_00,,,
,,,3,,367 | DOM03_06 | FN22.01 | Pump 22.01 Cooling Fan 22.01,2,"""ENG02_WRK"".IO.FN22_01.io.sts",1,ENG02_FN22_01,,,
,,,3,,368 | DOM03_07 |  | SPARE,2,"""ENG02_WRK"".IO.DOM03_07.io.sts",1,ENG02_DOM03_07,,,
,,,3,,369 | DOM03_08 |  | SPARE,2,"""ENG02_WRK"".IO.DOM03_08.io.sts",1,ENG02_DOM03_08,,,
,,,3,,370 | DOM03_09 |  | SPARE,2,"""ENG02_WRK"".IO.DOM03_09.io.sts",1,ENG02_DOM03_09,,,
,,,3,,371 | DOM03_10 |  | SPARE,2,"""ENG02_WRK"".IO.DOM03_10.io.sts",1,ENG02_DOM03_10,,,
,,,3,,372 | DOM03_11 |  | SPARE,2,"""ENG02_WRK"".IO.DOM03_11.io.sts",1,ENG02_DOM03_11,,,
,,,3,,373 | DOM03_12 |  | SPARE,2,"""ENG02_WRK"".IO.DOM03_12.io.sts",1,ENG02_DOM03_12,,,
,,,3,,374 | DOM03_13 |  | SPARE,2,"""ENG02_WRK"".IO.DOM03_13.io.sts",1,ENG02_DOM03_13,,,
,,,3,,375 | DOM03_14 |  | SPARE,2,"""ENG02_WRK"".IO.DOM03_14.io.sts",1,ENG02_DOM03_14,,,
,,,3,,376 | DOM03_15 |  | SPARE,2,"""ENG02_WRK"".IO.DOM03_15.io.sts",1,ENG02_DOM03_15,,,
,,,,,,,,,,,,
ctrl+r_1,F8_1,enter_1,text_4,enter_1,wait_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3
,,1,move,3,1000,3,,377 | AIM04_00 | PT22.00 | Pre-Filter Pressure,2,"""ENG02_WRK"".IO.PT22_00.smth",1,ENG02_PT22_00
,,1,move,3,1000,3,,378 | AIM04_01 | PT22.01 | Chem Outlet Pressure (Post Filter),2,"""ENG02_WRK"".IO.PT22_01.smth",1,ENG02_PT22_01
,,1,move,3,1000,3,,379 | AIM04_02 | FIT22.00 | Engine 2 Supply Flow,2,"""ENG02_WRK"".IO.FIT22_00.smth",1,ENG02_FIT22_00
,,1,move,3,1000,3,,380 | AIM04_03 | FIT22.01 | Engine 2 Return to Tank Flow,2,"""ENG02_WRK"".IO.FIT22_01.smth",1,ENG02_FIT22_01
,,1,move,3,1000,3,,381 | AIM04_04 | PIT06.00 | Control Gas Pressure 4,2,"""ENG02_WRK"".IO.PIT06_00.smth",1,ENG02_PIT06_00
,,1,move,3,1000,3,,382 | AIM04_05 | TT22.02 | Engine 2 Cabinet Temperature,2,"""ENG02_WRK"".IO.TT22_02.smth",1,ENG02_TT22_02
,,1,move,3,1000,3,,383 | AIM04_06 | PT06.01 | Pump 22.00 Low Speed Pressure,2,"""ENG02_WRK"".IO.PT06_01.smth",1,ENG02_PT06_01
,,1,move,3,1000,3,,384 | AIM04_07 | PT06.02 | Pump 22.00 High Speed Pressure,2,"""ENG02_WRK"".IO.PT06_02.smth",1,ENG02_PT06_02
,,1,move,3,1000,3,,385 | AIM05_00 | P22_00_RPM | Pump 22.00 Actual RPM,2,"""ENG02_WRK"".IO.P22_00_RPM.smth",1,ENG02_P22_00_RPM
,,1,move,3,1000,3,,386 | AIM05_01 | P22_01_RPM | Pump 22.01 Actual RPM,2,"""ENG02_WRK"".IO.P22_01_RPM.smth",1,ENG02_P22_01_RPM
,,1,move,3,1000,3,,387 | AIM05_02 |  | SPARE,2,"""ENG02_WRK"".IO.AIM05_02.smth",1,ENG02_AIM05_02
,,1,move,3,1000,3,,388 | AIM05_03 |  | SPARE,2,"""ENG02_WRK"".IO.AIM05_03.smth",1,ENG02_AIM05_03
,,1,move,3,1000,3,,389 | AIM06_00 | TT22.00 | Engine 2 Supply Temperature,2,"""ENG02_WRK"".IO.TT22_00.smth",1,ENG02_TT22_00
,,1,move,3,1000,3,,390 | AIM06_01 | TT22.01 | Engine 2 Metrology Temperature,2,"""ENG02_WRK"".IO.TT22_01.smth",1,ENG02_TT22_01
,,1,move,3,1000,3,,391 | AIM06_02 |  | SPARE,2,"""ENG02_WRK"".IO.AIM06_02.smth",1,ENG02_AIM06_02
,,1,move,3,1000,3,,392 | AIM06_03 |   | SPARE,2,"""ENG02_WRK"".IO.AIM06_03.smth",1,ENG02_AIM06_03
,,1,move,3,1000,3,,393 | AOM07_00 | P22_00_CMDRPM | Pump 22.00 Command RPM,2,"""ENG02_WRK"".IO.P22_00_CMDRPM.out",1,ENG02_P22_00_CMDRPM
,,1,move,3,1000,3,,394 | AOM07_01 | P22_01_CMDRPM | Pump 22.01 Command RPM,2,"""ENG02_WRK"".IO.P22_01_CMDRPM.out",1,ENG02_P22_01_CMDRPM
,,1,move,3,1000,3,,395 | AOM07_02 | PY22.00 | Engine 2 Supply Pressure Control,2,"""ENG02_WRK"".IO.PY22_00.out",1,ENG02_PY22_00
,,1,move,3,1000,3,,396 | AOM07_03 |   | SPARE,2,"""ENG02_WRK"".IO.AOM07_03.out",1,ENG02_AOM07_03
,,,,,,,,,,,,
ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,397 | SOL11_00 | FV30.02/30.03 | Engine 2 Chem Outlet 1,2,"""ENG02_WRK"".IO.FVY30_02.io.sts",1,ENG02_FVY30_02,,,
,,,3,,398 | SOL11_01 | FV31.02/31.03 | Engine 2 Chem Outlet 2,2,"""ENG02_WRK"".IO.FVY31_02.io.sts",1,ENG02_FVY31_02,,,
,,,3,,399 | SOL11_02 | FV22.07/22.08 | Engine 2 to Tank 21.00 Recirc,2,"""ENG02_WRK"".IO.FVY22_07.io.sts",1,ENG02_FVY22_07,,,
,,,3,,400 | SOL11_03 | FV22.09/22.10 | Engine 2 to Tank 22.00 Recirc,2,"""ENG02_WRK"".IO.FVY22_09.io.sts",1,ENG02_FVY22_09,,,
,,,3,,401 | SOL11_04 | FV22.19/22.20 | Engine 2 to SCME Recirc,2,"""ENG02_WRK"".IO.FVY22_19.io.sts",1,ENG02_FVY22_19,,,
,,,3,,402 | SOL11_05 | FV62.00 | Engine 2 Metrology Supply,2,"""ENG02_WRK"".IO.FVY62_00.io.sts",1,ENG02_FVY62_00,,,
,,,3,,403 | SOL11_06 | FV62.01 | Engine 2 Metrology Flush/Purge,2,"""ENG02_WRK"".IO.FVY62_01.io.sts",1,ENG02_FVY62_01,,,
,,,3,,404 | SOL11_07 | FV62.02 | Engine 2 Metrology Return to Tank 21.00,2,"""ENG02_WRK"".IO.FVY62_02.io.sts",1,ENG02_FVY62_02,,,
,,,3,,405 | SOL11_08 | FV62.03 | Engine 2 Metrology Return to Tank 22.00,2,"""ENG02_WRK"".IO.FVY62_03.io.sts",1,ENG02_FVY62_03,,,
,,,3,,406 | SOL11_09 | FV70.04 | Engine 2 Pre-Filter Sample,2,"""ENG02_WRK"".IO.FVY70_04.io.sts",1,ENG02_FVY70_04,,,
,,,3,,407 | SOL11_10 | FV70.05 | ENG02 Chem Supply Sample (Post Filter),2,"""ENG02_WRK"".IO.FVY70_05.io.sts",1,ENG02_FVY70_05,,,
,,,3,,408 | SOL11_11 | FV06.01 | Pump 22.00 Low/High Speed CDA Supply,2,"""ENG02_WRK"".IO.FVY06_01.io.sts",1,ENG02_FVY06_01,,,
,,,3,,409 | SOL11_12 | FV06.00 | Pump 22.00 CDA Supply,2,"""ENG02_WRK"".IO.FVY06_00.io.sts",1,ENG02_FVY06_00,,,
,,,3,,410 | SOL11_13 |  | SPARE,2,"""ENG02_WRK"".IO.SOL11_13.io.sts",1,ENG02_SOL11_13,,,
,,,3,,411 | SOL11_14 |  | SPARE,2,"""ENG02_WRK"".IO.SOL11_14.io.sts",1,ENG02_SOL11_14,,,
,,,3,,412 | SOL11_15 |  | SPARE,2,"""ENG02_WRK"".IO.SOL11_15.io.sts",1,ENG02_SOL11_15,,,
,,,3,,413 | SOL12_00 |  | SPARE,2,"""ENG02_WRK"".IO.SOL12_00.io.sts",1,ENG02_SOL12_00,,,
,,,3,,414 | SOL12_01 | FV52.01 | Engine 2 Pump Drain,2,"""ENG02_WRK"".IO.FVY52_01.io.sts",1,ENG02_FVY52_01,,,
,,,3,,415 | SOL12_02 | FV52.10 | Engine 2 Filter Drain,2,"""ENG02_WRK"".IO.FVY52_10.io.sts",1,ENG02_FVY52_10,,,
,,,3,,416 | SOL12_03 | FV52.11 | Engine 2 Filter Bleed,2,"""ENG02_WRK"".IO.FVY52_11.io.sts",1,ENG02_FVY52_11,,,
,,,3,,417 | SOL12_04 | FV52.12 | Engine 2 Post Filter Drain,2,"""ENG02_WRK"".IO.FVY52_12.io.sts",1,ENG02_FVY52_12,,,
,,,3,,418 | SOL12_05 | FV52.13 | Engine 2 Slip Stream Drain,2,"""ENG02_WRK"".IO.FVY52_13.io.sts",1,ENG02_FVY52_13,,,
,,,3,,419 | SOL12_06 |  | SPARE,2,"""ENG02_WRK"".IO.SOL12_06.io.sts",1,ENG02_SOL12_06,,,
,,,3,,420 | SOL12_07 | FV22.00 | Pump Inlet 1,2,"""ENG02_WRK"".IO.FVY22_00.io.sts",1,ENG02_FVY22_00,,,
,,,3,,421 | SOL12_08 | FV22.01 | Pump Inlet 2,2,"""ENG02_WRK"".IO.FVY22_01.io.sts",1,ENG02_FVY22_01,,,
,,,3,,422 | SOL12_09 | FV22.02 | Pump Inlet 3,2,"""ENG02_WRK"".IO.FVY22_02.io.sts",1,ENG02_FVY22_02,,,
,,,3,,423 | SOL12_10 | FV22.03 | Pump Flush/Purge,2,"""ENG02_WRK"".IO.FVY22_03.io.sts",1,ENG02_FVY22_03,,,
,,,3,,424 | SOL12_11 | FV22.04 | Pump Outlet,2,"""ENG02_WRK"".IO.FVY22_04.io.sts",1,ENG02_FVY22_04,,,
,,,3,,425 | SOL12_12 | FV22.05 | Filter Flush/PURGE,2,"""ENG02_WRK"".IO.FVY22_05.io.sts",1,ENG02_FVY22_05,,,
,,,3,,426 | SOL12_13 | FV22.06 | Engine 2 Supply,2,"""ENG02_WRK"".IO.FVY22_06.io.sts",1,ENG02_FVY22_06,,,
,,,3,,427 | SOL12_14 |  | SPARE,2,"""ENG02_WRK"".IO.SOL12_14.io.sts",1,ENG02_SOL12_14,,,
,,,3,,428 | SOL12_15 |  | SPARE,2,"""ENG02_WRK"".IO.SOL12_15.io.sts",1,ENG02_SOL12_15,,,
,,,3,,429 | SOL13_00 | FV22.11 | Filter 22.00 inlet,2,"""ENG02_WRK"".IO.FVY22_11.io.sts",1,ENG02_FVY22_11,,,
,,,3,,430 | SOL13_01 | FV22.12 | Filter 22.01 inlet,2,"""ENG02_WRK"".IO.FVY22_12.io.sts",1,ENG02_FVY22_12,,,
,,,3,,431 | SOL13_02 | FV22.13 | Filter 22.02 inlet,2,"""ENG02_WRK"".IO.FVY22_13.io.sts",1,ENG02_FVY22_13,,,
,,,3,,432 | SOL13_03 | FV22.14 | Filter 22.03 inlet,2,"""ENG02_WRK"".IO.FVY22_14.io.sts",1,ENG02_FVY22_14,,,
,,,3,,433 | SOL13_04 | FV22.15 | Filter 22.04 inlet,2,"""ENG02_WRK"".IO.FVY22_15.io.sts",1,ENG02_FVY22_15,,,
,,,3,,434 | SOL13_05 | FV22.16 | Filter 22.05 inlet,2,"""ENG02_WRK"".IO.FVY22_16.io.sts",1,ENG02_FVY22_16,,,
,,,3,,435 | SOL13_06 | FV22.17 | Filter 22.06 inlet,2,"""ENG02_WRK"".IO.FVY22_17.io.sts",1,ENG02_FVY22_17,,,
,,,3,,436 | SOL13_07 | FV22.18 | Filter 22.07 inlet,2,"""ENG02_WRK"".IO.FVY22_18.io.sts",1,ENG02_FVY22_18,,,
,,,3,,437 | SOL13_08 | FV52.02 | Filter 22.00 Drain,2,"""ENG02_WRK"".IO.FVY52_02.io.sts",1,ENG02_FVY52_02,,,
,,,3,,438 | SOL13_09 | FV52.03 | Filter 22.01 Drain,2,"""ENG02_WRK"".IO.FVY52_03.io.sts",1,ENG02_FVY52_03,,,
,,,3,,439 | SOL13_10 | FV52.04 | Filter 22.02 Drain,2,"""ENG02_WRK"".IO.FVY52_04.io.sts",1,ENG02_FVY52_04,,,
,,,3,,440 | SOL13_11 | FV52.05 | Filter 22.03 Drain,2,"""ENG02_WRK"".IO.FVY52_05.io.sts",1,ENG02_FVY52_05,,,
,,,3,,441 | SOL13_12 | FV52.06 | Filter 22.04 Drain,2,"""ENG02_WRK"".IO.FVY52_06.io.sts",1,ENG02_FVY52_06,,,
,,,3,,442 | SOL13_13 | FV52.07 | Filter 22.05 Drain,2,"""ENG02_WRK"".IO.FVY52_07.io.sts",1,ENG02_FVY52_07,,,
,,,3,,443 | SOL13_14 | FV52.08 | Filter 22.06 Drain,2,"""ENG02_WRK"".IO.FVY52_08.io.sts",1,ENG02_FVY52_08,,,
,,,3,,444 | SOL13_15 | FV52.09 | Filter 22.07 Drain,2,"""ENG02_WRK"".IO.FVY52_09.io.sts",1,ENG02_FVY52_09,,,
